fen,eval
rnb1k1nr/p2p1ppp/6q1/2p1p3/P1p3BP/1P2P1P1/2NP1P2/R1BQK1NR w KQkq - 2 11,4.3200
rnb1k1nr/p2p1ppp/6q1/2p1p3/P1p3BP/1P2P1PR/2NP1P2/R1BQK1N1 b Qkq - 3 11,1.9800
rnb1k2r/p2p1ppp/6qn/2p1p3/P1p3BP/1P2P1PR/2NP1P2/R1BQK1N1 w Qkq - 4 12,2.7800
rnb1k2r/p2p1ppp/6qn/2p1p3/P1p3BP/1P2PQPR/2NP1P2/R1B1K1N1 b Qkq - 5 12,-1.8300
rnb1k2r/p2p2pp/5pqn/2p1p3/P1p3BP/1P2PQPR/2NP1P2/R1B1K1N1 w Qkq - 0 13,5.6300
rnb1k2r/p2p2pp/5pqn/2p1p3/P1p3BP/1P2PQPR/2NP1P2/R1BK2N1 b kq - 1 13,-2.2200
rnb1k2r/p5pp/5pqn/2ppp3/P1p3BP/1P2PQPR/2NP1P2/R1BK2N1 w kq - 0 14,2.8800
rnb1k2r/p5pp/5pqn/2ppp3/P1p3BP/1P2PQP1/2NP1P1R/R1BK2N1 b kq - 1 14,-6.8700
rn2k2r/p5pp/4bpqn/2ppp3/P1p3BP/1P2PQP1/2NP1P1R/R1BK2N1 w kq - 2 15,4.9300
rn2k2r/p5pp/4bpqn/2ppp3/P1p2QBP/1P2P1P1/2NP1P1R/R1BK2N1 b kq - 3 15,-7.5500
rn2k2r/p5pp/4bpqn/2ppp3/P4QBP/1p2P1P1/2NP1P1R/R1BK2N1 w kq - 0 16,-5.6100
rn2k2r/p5pp/4bpqQ/2ppp3/P5BP/1p2P1P1/2NP1P1R/R1BK2N1 b kq - 0 16,-7.6000
rn2k2r/p4qpp/4bp1Q/2ppp3/P5BP/1p2P1P1/2NP1P1R/R1BK2N1 w kq - 1 17,2.8200
rn2k2r/p4qpp/4bp1Q/2ppp3/P4PBP/1p2P1P1/2NP3R/R1BK2N1 b kq - 0 17,-7.5300
rn2k2r/p2b1qpp/5p1Q/2ppp3/P4PBP/1p2P1P1/2NP3R/R1BK2N1 w kq - 1 18,1.3300
rn2k2r/p2b1qpp/5p1Q/2ppp3/P3PPBP/1p4P1/2NP3R/R1BK2N1 b kq - 0 18,-6.4300
rn2k2r/p2b1q1p/5p1p/2ppp3/P3PPBP/1p4P1/2NP3R/R1BK2N1 w kq - 0 19,-5.8900
rn2k2r/p2b1q1p/5p1p/2ppp3/P3PPBP/1p4PN/2NP3R/R1BK4 b kq - 1 19,-8.6100
